Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por provincias
Población por provincias y sexo.
Unidades:   Personas

;Total;;;;;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;;;;;
;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;
48 Bizkaia;1148302.0;1147576.0;1148775.0;1151905.0;1156447.0;1158439.0;1155772.0;1153724.0;1152658.0;1146421.0;1141457.0;1139863.0;1136181.0;1132861.0;1133428.0;1133444.0;1132616.0;1132729.0;1137418.0;1137594.0;""1140026.0;554289.0;554342.0;554832.0;556772.0;559573.0;561134.0;560178.0;559359.0;559174.0;556095.0;553355.0;553501.0;552297.0;550836.0;551266.0;551288.0;550802.0;550880.0;553548.0;553761.0;""555274.0;594013.0;593234.0;593943.0;595133.0;596874.0;597305.0;595594.0;594365.0;593484.0;590326.0;588102.0;586362.0;583884.0;582025.0;582162.0;582156.0;581814.0;581849.0;583870.0;583833.0;""584752.0;
09 Burgos;358171.0;360995.0;364002.0;366900.0;371248.0;374970.0;375657.0;374826.0;375563.0;373672.0;365972.0;363874.0;361021.0;356437.0;355205.0;352723.0;349810.0;347240.0;347218.0;346355.0;""350074.0;178919.0;180418.0;182142.0;183882.0;186638.0;189124.0;189652.0;189454.0;190271.0;189675.0;184713.0;183355.0;181610.0;178943.0;178140.0;176770.0;175237.0;173695.0;173729.0;173195.0;""175247.0;179252.0;180577.0;181860.0;183018.0;184610.0;185846.0;186005.0;185372.0;185292.0;183997.0;181259.0;180519.0;179411.0;177494.0;177065.0;175953.0;174573.0;173545.0;173489.0;173160.0;""174827.0;
10 Cáceres;400036.0;403665.0;406267.0;408703.0;410275.0;413597.0;415446.0;415083.0;413633.0;412498.0;411531.0;412899.0;412580.0;411390.0;410762.0;410242.0;409130.0;407546.0;408949.0;405616.0;""413396.0;198494.0;200285.0;201702.0;202962.0;203758.0;205634.0;206573.0;206358.0;205638.0;205949.0;205481.0;206593.0;206744.0;206185.0;206089.0;205848.0;205195.0;203946.0;204965.0;202834.0;""205735.0;201542.0;203380.0;204565.0;205741.0;206517.0;207963.0;208873.0;208725.0;207995.0;206549.0;206050.0;206306.0;205836.0;205205.0;204673.0;204394.0;203935.0;203600.0;203984.0;202782.0;""207661.0;
11 Cádiz;1239435.0;1239889.0;1240284.0;1240175.0;1238492.0;1245164.0;1243519.0;1236739.0;1230594.0;1220467.0;1207343.0;1194062.0;1180817.0;1164374.0;1155724.0;1140793.0;1131346.0;1125105.0;1119802.0;1107484.0;""1105762.0;612191.0;612858.0;613094.0;613340.0;612770.0;616686.0;615865.0;612833.0;609984.0;608616.0;601832.0;594647.0;587700.0;578939.0;573992.0;566033.0;561330.0;557963.0;555684.0;549120.0;""548263.0;627244.0;627031.0;627190.0;626835.0;625722.0;628478.0;627654.0;623906.0;620610.0;611851.0;605511.0;599415.0;593117.0;585435.0;581732.0;574760.0;570016.0;567142.0;564118.0;558364.0;""557499.0;
39 Cantabria;580295.0;582206.0;585179.0;588656.0;591888.0;593861.0;593121.0;592250.0;589235.0;582138.0;572824.0;568091.0;562309.0;554784.0;549690.0;542275.0;537606.0;531159.0;528478.0;527137.0;""527437.0;281808.0;282988.0;284788.0;286782.0;288643.0;289999.0;289872.0;289931.0;288735.0;285469.0;280283.0;277869.0;274797.0;270907.0;268309.0;264492.0;261967.0;258682.0;257495.0;256766.0;""256946.0;298487.0;299218.0;300391.0;301874.0;303245.0;303862.0;303249.0;302319.0;300500.0;296669.0;292541.0;290222.0;287512.0;283877.0;281381.0;277783.0;275639.0;272477.0;270983.0;270371.0;""270491.0;
12 Castellón/Castelló;575470.0;579245.0;582327.0;587508.0;601699.0;604564.0;604344.0;604274.0;602301.0;594915.0;573282.0;559761.0;543432.0;527345.0;518239.0;501237.0;485173.0;474385.0;467895.0;461712.0;""456727.0;285467.0;287802.0;289720.0;292804.0;300992.0;302927.0;302855.0;303490.0;303460.0;299829.0;288079.0;281340.0;272714.0;264099.0;259437.0;250410.0;241143.0;235070.0;231578.0;228231.0;""225406.0;290003.0;291443.0;292607.0;294704.0;300707.0;301637.0;301489.0;300784.0;298841.0;295086.0;285203.0;278421.0;270718.0;263246.0;258802.0;250827.0;244030.0;239315.0;236317.0;233481.0;""231321.0;
13 Ciudad Real;502578.0;506888.0;513713.0;519613.0;524962.0;530250.0;530175.0;529453.0;527273.0;522343.0;510122.0;506864.0;500060.0;492914.0;487670.0;484338.0;478581.0;476633.0;479087.0;479474.0;""478672.0;248328.0;250847.0;254571.0;257918.0;260888.0;264067.0;264078.0;264098.0;263038.0;260649.0;253473.0;251565.0;247795.0;243698.0;240603.0;238380.0;234988.0;233538.0;234828.0;234972.0;""234355.0;254250.0;256041.0;259142.0;261695.0;264074.0;266183.0;266097.0;265355.0;264235.0;261694.0;256649.0;255299.0;252265.0;249216.0;247067.0;245958.0;243593.0;243095.0;244259.0;244502.0;""244317.0;
14 Córdoba;788219.0;791610.0;795611.0;799402.0;802422.0;804498.0;805857.0;805108.0;803998.0;798822.0;792182.0;788287.0;784376.0;779870.0;775944.0;771131.0;769625.0;769237.0;768676.0;767175.0;""761401.0;386736.0;388470.0;390559.0;392644.0;394189.0;395300.0;395858.0;395570.0;395225.0;392658.0;389173.0;386939.0;384749.0;382213.0;379989.0;377328.0;376511.0;376308.0;376237.0;375244.0;""372249.0;401483.0;403140.0;405052.0;406758.0;408233.0;409198.0;409999.0;409538.0;408773.0;406164.0;403009.0;401348.0;399627.0;397657.0;395955.0;393803.0;393114.0;392929.0;392439.0;391931.0;""389152.0;
15 Coruña, A;1120294.0;1122799.0;1127196.0;1132735.0;1138161.0;1143911.0;1147124.0;1146458.0;1145488.0;1139121.0;1132792.0;1129141.0;1126707.0;1121344.0;1120814.0;1111886.0;1108002.0;1108419.0;1108980.0;1106325.0;""1110302.0;537311.0;538878.0;541292.0;544075.0;547079.0;550009.0;551476.0;551318.0;550841.0;548037.0;544352.0;542260.0;541189.0;538764.0;538469.0;533914.0;532039.0;531744.0;532943.0;531769.0;""533921.0;582983.0;583921.0;585904.0;588660.0;591082.0;593902.0;595648.0;595140.0;594647.0;591084.0;588440.0;586881.0;585518.0;582580.0;582345.0;577972.0;575963.0;576675.0;576037.0;574556.0;""576381.0;
16 Cuenca;198718.0;201071.0;203841.0;207449.0;211899.0;218036.0;219138.0;217716.0;217363.0;215274.0;211375.0;208616.0;207974.0;204546.0;202982.0;201614.0;201526.0;201053.0;200963.0;199086.0;""201712.0;99821.0;101097.0;102583.0;104586.0;107111.0;110460.0;111052.0;110384.0;110282.0;109058.0;106633.0;105068.0;104912.0;102947.0;102040.0;101048.0;100630.0;100126.0;100088.0;99031.0;""100387.0;98897.0;99974.0;101258.0;102863.0;104788.0;107576.0;108086.0;107332.0;107081.0;106216.0;104742.0;103548.0;103062.0;101599.0;100942.0;100566.0;100896.0;100927.0;100875.0;100055.0;""101325.0;
